positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
欣慰,摸不準,,,,,,,
欣喜,磨不開,,,,,,,
欣喜若狂,抹不開,,,,,,,
欣羡,漠然視之,,,,,,,
欣幸,漠然置之,,,,,,,
忻,漠視,,,,,,,
心馳神往,木然,,,,,,,
心蕩神馳,目瞪口呆,,,,,,,
心甘,納罕,,,,,,,
心甘情願,難,,,,,,,
心花怒放,難過,,,,,,,
心曠神怡,難堪,,,,,,,
心滿意足,難受,,,,,,,
心疼,難為情,,,,,,,
心向,惱,,,,,,,
心醉,惱恨,,,,,,,
興高采烈,惱火,,,,,,,
行禮,惱怒,,,,,,,
需,惱羞成怒,,,,,,,
需要,鬧脾氣,,,,,,,
許,鬧情緒,,,,,,,
許可,鬧性子,,,,,,,
軒然,餒,,,,,,,
懸紅,內疚,,,,,,,
懸賞,膩,,,,,,,
眼饞,膩煩,,,,,,,
眼紅,膩歪,,,,,,,
眼熱,膩味,,,,,,,
豔羨,捏把汗,,,,,,,
揚眉吐氣,捏一把汗,,,,,,,
揚揚,怒,,,,,,,
揚揚得意,怒不可遏,,,,,,,
揚揚自得,怒斥,,,,,,,
洋洋得意,怒衝衝,,,,,,,
洋洋自得,怒髮衝冠,,,,,,,
仰,怒喝,,,,,,,
仰慕,怒火沖天,,,,,,,
搖頭擺尾,怒火中燒,,,,,,,
搖頭晃腦,怒罵,,,,,,,
要,怒目,,,,,,,
夜有所夢,怒氣衝衝,,,,,,,
一往情深,怒氣沖天,,,,,,,
揖,怒形於色,,,,,,,
依依不捨,怒叱,,,,,,,
依允,怕,,,,,,,
以期,怕生,,,,,,,
以求,怕羞,,,,,,,
意欲,拍案而起,,,,,,,
溢美,排揎,,,,,,,
引頸企待,徘徊,,,,,,,
引領,派不是,,,,,,,
應,旁敲側擊,,,,,,,
應承,抨,,,,,,,
應下,抨擊,,,,,,,
應許,批,,,,,,,
應允,批鬥,,,,,,,
應准,苶,,,,,,,
迎,皮裡陽秋,,,,,,,
迎候,屁滾尿流,,,,,,,
迎接,偏廢,,,,,,,
迎來,品頭論足,,,,,,,
迎迓,評頭論足,,,,,,,
擁,評頭品足,,,,,,,
擁戴,頗有微詞,,,,,,,
擁護,破口大罵,,,,,,,
詠贊,魄散魂飛,,,,,,,
用,迫不及待,,,,,,,
用心良苦,慼慼,,,,,,,
有心,戚然,,,,,,,
有意,七竅生煙,,,,,,,
俞允,悽惶,,,,,,,
愉,悽切,,,,,,,
愉快,悽然,,,,,,,
愉悅,悽酸,,,,,,,
欲,悽婉,,,,,,,
譽,悽怨,,,,,,,
願,悽惻,,,,,,,
願意,歧視,,,,,,,
躍躍欲試,騎虎難下,,,,,,,
悅,起疑心,,,,,,,
悅服,氣,,,,,,,
允,氣昂昂,,,,,,,
允許,氣不忿,,,,,,,
允准,氣不過,,,,,,,
在乎,氣不平,,,,,,,
在心,氣沖沖,,,,,,,
在意,氣衝牛斗,,,,,,,
贊,氣短,,,,,,,
贊成,氣忿,,,,,,,
贊服,氣忿忿,,,,,,,
讚美,氣憤,,,,,,,
贊慕,氣憤憤,,,,,,,
贊佩,氣鼓鼓,,,,,,,
讚賞,氣狠狠,,,,,,,
讚頌,氣哼哼,,,,,,,
讚歎,氣呼呼,,,,,,,
贊同,氣乎乎,,,,,,,
贊羨,氣急敗壞,,,,,,,
贊許,氣惱,,,,,,,
讚揚,氣餒,,,,,,,
讚譽,氣頭上,,,,,,,
沾沾自喜,氣洶洶,,,,,,,
照準,牽念,,,,,,,
折服,遷怒,,,,,,,
珍,譴,,,,,,,
珍愛,譴責,,,,,,,
珍視,歉然,,,,,,,
珍惜,歉甚,,,,,,,
珍重,瞧不起,,,,,,,
正中下懷,瞧不上,,,,,,,
支持,瞧不上眼,,,,,,,
知冷知熱,切齒,,,,,,,
知冷著熱,切齒痛恨,,,,,,,
知足,怯,,,,,,,
指靠,怯陣,,,,,,,
指望,輕,,,,,,,
志願,輕忽,,,,,,,
摯愛,輕看,,,,,,,
致賀,輕蔑,,,,,,,
致敬,輕視,,,,,,,
致謝,清算,,,,,,,
中意,窮極無聊,,,,,,,
鐘,饒,,,,,,,
鍾愛,饒人,,,,,,,
鍾情,饒恕,,,,,,,
